change_id,candidate_id,observed_problem,generalizes_evidence,belongs_in,effect,keep_change
C-high_expansion,high_expansion,"n_expansion >=5 (sequel/expansion system proxy) (n=267, mean_resid_Q3bFam -0.009 if n>0)","Version/reimpl counts show no systematic residual after current log_n_impl included (high_version mean_resid ~ -0.015). No model change; keep is_reimpl in model, version duplication handled via cleanup. | counts: 267 (1.82%), share_top5 2.2%, strong overlap 0/39 (0.0%) | CV ΔR² -0.0 | Jaccard top1 0.986 top5 1.0 | beta -0.0127 SE 0.0383 folds -0.004 -0.019 -0.028 +0.012 -0.023",semantic cleanup / hiddenness (not model),"n=267, mean_resid -0.009, beta -0.0127, CV Δ -0.0","NO_MODEL - version count already proxied via is_reimplementation + log_n_impl, handle via pruned_lists/exclude"
C-solo_mech,solo_mech,"Solo / Solitaire Game mechanic n=1397 (n=1397, mean_resid_Q3bFam +0.011 if n>0)","General population n=1397, no systematic residual; not missing from model spec. | counts: 1397 (9.5%), share_top5 4.1%, strong overlap 9/39 (23.1%) | CV ΔR² 0.0 | Jaccard top1 1.0 top5 0.992 | beta 0.0161 SE 0.0175 folds +0.016 +0.017 +0.011 +0.019 +0.017",no change (preserve),"mean_resid +0.011, delta 0.0, Jaccard 1.0",NO_CHANGE - residual not systematic (<0.10)
C-coop_mech,coop_mech,"Cooperative Game mechanic n=1543 (already in Q3bFam as fam) (n=1543, mean_resid_Q3bFam -0.000 if n>0)","Already in Q3bFam via cat/mech block (n=1543, mean_resid≈0). | counts: 1543 (10.5%), share_top5 6.4%, strong overlap 22/39 (56.4%) | CV ΔR² NA | Jaccard top1 None top5 None | beta None SE None folds ","quality model (already in Q3bFam as fam_Cooperative Game, preserved)","Residual 0 by construction (β already estimated +0.083±0.017, fold 5/5 positive; CV +0.000? preserved).",PRESERVE - no change
C-team_mech,team_mech,"Team-Based Game mechanic n=802 (n=802, mean_resid_Q3bFam +0.030 if n>0)","General population n=802, no systematic residual; not missing from model spec. | counts: 802 (5.46%), share_top5 7.0%, strong overlap 3/39 (7.7%) | CV ΔR² 0.0001 | Jaccard top1 0.96 top5 0.989 | beta 0.0359 SE 0.0204 folds +0.043 +0.032 +0.026 +0.042 +0.037",no change (preserve),"mean_resid +0.030, delta 0.0001, Jaccard 0.96",NO_CHANGE - residual not systematic (<0.10)
C-semi_coop,semi_coop,"Semi-Cooperative Game n=98 (n=98, mean_resid_Q3bFam -0.252 if n>0)","n=98, systematic residual candidate but need 5-fold consistency -0.244 -0.254 -0.261 -0.286 -0.245 | counts: 98 (0.67%), share_top5 1.0%, strong overlap 0/39 (0.0%) | CV ΔR² 0.0006 | Jaccard top1 1.0 top5 0.989 | beta -0.2582 SE 0.0544 folds -0.244 -0.254 -0.261 -0.286 -0.245",quality model (tentative),"mean_resid -0.252, CV Δ 0.0006",CONSIDER - but test interaction
C-solo_first,solo_first,"solo-first design min=1 max<=2 n=691 (n=691, mean_resid_Q3bFam +0.128 if n>0)","Generalizes: n=691 solo-first games, ++0.128 mean resid, appears in 4/39 strong ( 10.3%); CV out-of-sample gain small but fold-consistent (5/5 positive?). | counts: 691 (4.7%), share_top5 5.8%, strong overlap 4/39 (10.3%) | CV ΔR² 0.0014 | Jaccard top1 0.947 top5 0.919 | beta 0.1758 SE 0.0237 folds +0.190 +0.174 +0.156 +0.177 +0.183",quality model (potential) AND audience-selection (propensity),"mean_resid +0.128, beta +0.176 SE 0.024, folds +0.190 +0.174 +0.156 +0.177 +0.183, CV ΔR² +0.0014, Spearman 0.9973, Jaccard top1 0.947",PROPOSED_ADD - test shows systematic + modest CV gain
C-duel_1_2p,duel_1_2p,"1–2 player constrained max<=2 n=2555 (n=2555, mean_resid_Q3bFam +0.080 if n>0)","Broad 1-2p pool n=2555, resid ++0.080 generalizes across 14,698, but effect likely driven by solo-first subset (691) and weight; rater count 2p-only 72 vs duel wargame small; needs interaction check not simple additive. | counts: 2555 (17.38%), share_top5 5.8%, strong overlap 8/39 (20.5%) | CV ΔR² 0.0038 | Jaccard top1 0.814 top5 0.844 | beta 0.2008 SE 0.0166 folds +0.203 +0.189 +0.198 +0.196 +0.217",quality model (candidate) + audience-selection,"mean_resid +0.080, beta 0.2008, CV Δ 0.0038, Jaccard 0.814",CONSIDER_ADD - but test heterogeneity (likely interaction with weight)
C-strict_solo,strict_solo,"solo-only 1p==1 max==1 n=249 (n=249, mean_resid_Q3bFam +0.121 if n>0)","Mechanic constraint shows modest residual but effect is audience structure not expected quality; belongs in specialist metric. | counts: 249 (1.69%), share_top5 3.6%, strong overlap 0/39 (0.0%) | CV ΔR² 0.0003 | Jaccard top1 0.96 top5 0.965 | beta 0.1409 SE 0.0364 folds +0.155 +0.106 +0.153 +0.151 +0.143",audience-selection / hiddenness definition,"mean_resid +0.121, delta 0.0003","CONSIDER_SCREEN - flag for cross-audience, not model"
C-wargame_duel,wargame_duel,"Wargame & max<=2 duel wargame n=? (n=1153, mean_resid_Q3bFam +0.074 if n>0)","General population n=1153, no systematic residual; not missing from model spec. | counts: 1153 (7.84%), share_top5 4.0%, strong overlap 0/39 (0.0%) | CV ΔR² 0.0017 | Jaccard top1 0.947 top5 0.919 | beta 0.2041 SE 0.0259 folds +0.211 +0.201 +0.197 +0.209 +0.202",no change (preserve),"mean_resid +0.074, delta 0.0017, Jaccard 0.947",NO_CHANGE - residual not systematic (<0.10)
C-light_weight,light_weight,"weight <=1.5 light n~? (n=4293, mean_resid_Q3bFam -0.018 if n>0)","General population n=4293, no systematic residual; not missing from model spec. | counts: 4293 (29.21%), share_top5 5.8%, strong overlap 8/39 (20.5%) | CV ΔR² 0.0004 | Jaccard top1 0.947 top5 0.947 | beta -0.0589 SE 0.0146 folds -0.051 -0.073 -0.060 -0.056 -0.055",no change (preserve),"mean_resid -0.018, delta 0.0004, Jaccard 0.947",NO_CHANGE - residual not systematic (<0.10)
C-heavy_weight,heavy_weight,"weight >=3.5 heavy n~? (n=929, mean_resid_Q3bFam -0.045 if n>0)","General population n=929, no systematic residual; not missing from model spec. | counts: 929 (6.32%), share_top5 3.1%, strong overlap 2/39 (5.1%) | CV ΔR² 0.0003 | Jaccard top1 0.986 top5 0.963 | beta -0.0819 SE 0.0235 folds -0.091 -0.081 -0.084 -0.065 -0.088",no change (preserve),"mean_resid -0.045, delta 0.0003, Jaccard 0.986",NO_CHANGE - residual not systematic (<0.10)
C-coop_solo,coop_solo,"both Cooperative & Solo n~? (n=495, mean_resid_Q3bFam +0.036 if n>0)","General population n=495, no systematic residual; not missing from model spec. | counts: 495 (3.37%), share_top5 7.3%, strong overlap 9/39 (23.1%) | CV ΔR² 0.0 | Jaccard top1 0.96 top5 0.984 | beta 0.0557 SE 0.0297 folds +0.083 +0.048 +0.050 +0.035 +0.064",no change (preserve),"mean_resid +0.036, delta 0.0, Jaccard 0.96",NO_CHANGE - residual not systematic (<0.10)
